Date,Open,High,Low,Close,Adj Close,Volume,close_rtn,close_ma
2022-01-03,177.830002,182.880005,177.710007,182.009995,180.190964,104487900,,
2022-01-04,182.630005,182.940002,179.119995,179.699997,177.904053,99310400,-0.012691599711323609,180.854996
2022-01-05,179.610001,180.169998,174.639999,174.919998,173.171829,94537600,-0.026599883582635764,177.3099975
2022-01-06,172.699997,175.300003,171.639999,172.0,170.281021,96904000,-0.016693334286454697,173.45999899999998
2022-01-07,172.889999,174.139999,171.029999,172.169998,170.44931,86709100,0.0009883604651161892,172.08499899999998
2022-01-10,169.080002,172.5,168.169998,172.190002,170.469101,106765600,0.00011618749045938515,172.18
2022-01-11,172.320007,175.179993,170.820007,175.080002,173.330231,76138300,0.01678378515844381,173.635002
2022-01-12,176.119995,177.179993,174.820007,175.529999,173.775726,74805200,0.002570236433970363,175.3050005
2022-01-13,175.779999,176.619995,171.789993,172.190002,170.469101,84505800,-0.019028069384310786,173.8600005
2022-01-14,171.339996,173.779999,171.089996,173.070007,171.340317,80440800,0.005110662580746217,172.63000449999998
2022-01-18,171.509995,172.539993,169.410004,169.800003,168.102982,90956700,-0.018894111444740402,171.435005
2022-01-19,170.0,171.080002,165.940002,166.229996,164.56868,94815000,-0.02102477583584028,168.0149995
2022-01-20,166.979996,169.679993,164.179993,164.509995,162.86586,91420500,-0.01034711569144231,165.36999550000002
2022-01-21,164.419998,166.330002,162.300003,162.410004,160.786865,122848900,-0.012765127127990161,163.45999949999998
2022-01-24,160.020004,162.300003,154.699997,161.619995,160.004745,162294600,-0.004864287793503119,162.0149995
2022-01-25,158.979996,162.759995,157.020004,159.779999,158.183136,115798400,-0.011384705215465307,160.699997
2022-01-26,163.5,164.389999,157.820007,159.690002,158.094055,108275300,-0.0005632557301493701,159.7350005
2022-01-27,162.449997,163.839996,158.279999,159.220001,157.628738,121954600,-0.002943208680027398,159.45500149999998
2022-01-28,165.710007,170.350006,162.800003,170.330002,168.627716,179935700,0.06977767196471762,164.7750015
2022-01-31,170.160004,175.0,169.509995,174.779999,173.033234,115541600,0.026125737965998486,172.5550005
2022-02-01,174.009995,174.839996,172.309998,174.610001,172.864944,86213900,-0.0009726398957125015,174.695
2022-02-02,174.75,175.880005,173.330002,175.839996,174.082642,84914300,0.007044241412036856,175.22499850000003
2022-02-03,174.479996,176.240005,172.119995,172.899994,171.171997,89418100,-0.01671975697724659,174.36999500000002
2022-02-04,171.679993,174.100006,170.679993,172.389999,170.884552,82465400,-0.0029496530809596244,172.6449965
2022-02-07,172.860001,173.949997,170.949997,171.660004,170.160934,77251200,-0.00423455539320472,172.02500149999997
2022-02-08,171.729996,175.350006,171.429993,174.830002,173.303238,74829200,0.018466724491047026,173.245003
2022-02-09,176.050003,176.649994,174.899994,176.279999,174.740585,71285000,0.008293753837513629,175.5550005
2022-02-10,174.139999,175.479996,171.550003,172.119995,170.616898,90865900,-0.02359884288404157,174.199997
2022-02-11,172.330002,173.080002,168.039993,168.639999,167.167297,98670700,-0.020218429590356468,170.379997
2022-02-14,167.369995,169.580002,166.559998,168.880005,167.405228,86185500,0.0014231854923103526,168.760002
2022-02-15,170.970001,172.949997,170.25,172.789993,171.281052,62527400,0.02315246260207071,170.834999
2022-02-16,171.850006,173.339996,170.050003,172.550003,171.043152,61177400,-0.0013889114516024703,172.66999800000002
2022-02-17,171.029999,171.910004,168.470001,168.880005,167.405228,69589300,-0.02126918537347111,170.71500400000002
2022-02-18,169.820007,170.539993,166.190002,167.300003,165.839005,82772700,-0.009355767131816517,168.09000400000002
2022-02-22,164.979996,166.690002,162.149994,164.320007,162.885025,91162800,-0.01781228898125009,165.810005
2022-02-23,165.539993,166.149994,159.75,160.070007,158.67218,90009200,-0.025864166376283082,162.195007
2022-02-24,152.580002,162.850006,152.0,162.740005,161.318832,141147500,0.01668018918747216,161.40500600000001
